participant_id,task_status,HR-accuracy,FAR-accuracy,HR-rt
15,PRE_TEST,1.0,0.0,420.22222222222223
15,POST_TEST,1.0,0.0,430.55555555555554
51,PRE_TEST,0.9444444444444444,0.05555555555555555,572.1176470588235
51,POST_TEST,1.0,0.0,451.55555555555554
48,PRE_TEST,0.8888888888888888,0.1111111111111111,524.0625
48,POST_TEST,1.0,0.0,586.0555555555555
68,PRE_TEST,1.0,0.0,466.77777777777777
68,POST_TEST,0.9444444444444444,0.05555555555555555,477.05882352941177
70,PRE_TEST,1.0,0.0,494.3333333333333
70,POST_TEST,1.0,0.0,503.3888888888889
72,PRE_TEST,1.0,0.0,521.2777777777778
72,POST_TEST,1.0,0.0,567.5555555555555
82,PRE_TEST,0.8888888888888888,0.1111111111111111,655.3125
82,POST_TEST,1.0,0.0,587.0555555555555
85,PRE_TEST,1.0,0.0,477.5
85,POST_TEST,1.0,0.0,454.3333333333333
84,PRE_TEST,1.0,0.0,540.8888888888889
84,POST_TEST,1.0,0.0,601.1666666666666
87,PRE_TEST,0.9444444444444444,0.05555555555555555,455.94117647058823
87,POST_TEST,1.0,0.0,483.27777777777777
90,PRE_TEST,0.9444444444444444,0.05555555555555555,636.4117647058823
90,POST_TEST,1.0,0.0,591.7222222222222
96,PRE_TEST,0.9444444444444444,0.05555555555555555,581.1764705882352
96,POST_TEST,1.0,0.0,540.1666666666666
97,PRE_TEST,1.0,0.0,594.8888888888889
97,POST_TEST,0.9444444444444444,0.05555555555555555,687.6470588235294
116,PRE_TEST,0.9444444444444444,0.05555555555555555,483.88235294117646
116,POST_TEST,0.9444444444444444,0.05555555555555555,461.29411764705884
140,PRE_TEST,1.0,0.0,414.94444444444446
140,POST_TEST,0.9444444444444444,0.05555555555555555,470.29411764705884
155,PRE_TEST,0.7777777777777778,0.2222222222222222,574.3571428571429
155,POST_TEST,1.0,0.0,703.3333333333334
158,PRE_TEST,1.0,0.0,542.5
158,POST_TEST,1.0,0.0,521.1111111111111
165,PRE_TEST,1.0,0.0,545.1111111111111
165,POST_TEST,1.0,0.0,531.1666666666666
168,PRE_TEST,1.0,0.0,530.5555555555555
168,POST_TEST,1.0,0.0,558.0
177,PRE_TEST,1.0,0.0,510.3888888888889
177,POST_TEST,0.8888888888888888,0.1111111111111111,489.8125
178,PRE_TEST,1.0,0.0,478.77777777777777
178,POST_TEST,1.0,0.0,509.8333333333333
179,PRE_TEST,0.9444444444444444,0.05555555555555555,546.7647058823529
179,POST_TEST,0.9444444444444444,0.05555555555555555,585.2941176470588
180,PRE_TEST,1.0,0.0,442.3888888888889
180,POST_TEST,1.0,0.0,484.22222222222223
