participant_id,HR-accuracy,FAR-accuracy,HR-rt
15,1.0,0.0,425.3888888888889
97,0.9722222222222222,0.027777777777777776,641.2679738562092
179,0.9444444444444444,0.05555555555555555,566.0294117647059
178,1.0,0.0,494.30555555555554
177,0.9444444444444444,0.05555555555555555,500.10069444444446
168,1.0,0.0,544.2777777777778
165,1.0,0.0,538.1388888888889
158,1.0,0.0,531.8055555555555
155,0.8888888888888888,0.1111111111111111,638.8452380952381
140,0.9722222222222222,0.027777777777777776,442.6192810457517
116,0.9444444444444444,0.05555555555555555,472.5882352941177
96,0.9722222222222222,0.027777777777777776,560.6715686274509
51,0.9722222222222222,0.027777777777777776,511.83660130718954
90,0.9722222222222222,0.027777777777777776,614.0669934640523
87,0.9722222222222222,0.027777777777777776,469.609477124183
84,1.0,0.0,571.0277777777778
85,1.0,0.0,465.91666666666663
82,0.9444444444444444,0.05555555555555555,621.1840277777778
72,1.0,0.0,544.4166666666667
70,1.0,0.0,498.8611111111111
68,0.9722222222222222,0.027777777777777776,471.91830065359477
48,0.9444444444444444,0.05555555555555555,555.0590277777778
180,1.0,0.0,463.30555555555554
