participant_id,task_status,accuracy_near,accuracy_far
15,PRE_TEST,0.45,0.55
15,POST_TEST,0.9,0.8
51,PRE_TEST,0.7,0.75
51,POST_TEST,0.95,0.75
48,PRE_TEST,0.35,0.6
48,POST_TEST,0.25,0.55
68,PRE_TEST,1.0,0.95
68,POST_TEST,0.9,0.95
70,PRE_TEST,0.9,0.55
70,POST_TEST,1.0,0.6
72,PRE_TEST,0.5,0.45
72,POST_TEST,0.55,0.45
82,PRE_TEST,0.2,0.15
82,POST_TEST,0.25,0.25
85,PRE_TEST,0.7,0.75
85,POST_TEST,0.95,0.95
84,PRE_TEST,0.7,0.8
84,POST_TEST,0.9,0.65
87,PRE_TEST,0.85,0.7
87,POST_TEST,0.9,0.7
90,PRE_TEST,0.9,0.7
90,POST_TEST,0.9,1.0
96,PRE_TEST,0.7,0.65
96,POST_TEST,0.8,0.4
97,PRE_TEST,0.6,0.4
97,POST_TEST,0.45,0.4
116,PRE_TEST,1.0,0.85
116,POST_TEST,0.9,0.8
140,PRE_TEST,0.8,0.6
140,POST_TEST,0.6,0.6
155,PRE_TEST,0.65,0.5
155,POST_TEST,0.75,0.7
158,PRE_TEST,0.55,0.85
158,POST_TEST,0.8,0.75
165,PRE_TEST,0.7,0.65
165,POST_TEST,0.55,0.45
168,PRE_TEST,0.7,0.55
168,POST_TEST,0.6,0.55
177,PRE_TEST,0.65,0.75
177,POST_TEST,0.95,0.9
178,PRE_TEST,0.8,0.7
178,POST_TEST,0.7,0.6
179,PRE_TEST,0.9,0.85
179,POST_TEST,0.35,0.4
180,PRE_TEST,0.7,0.65
180,POST_TEST,0.95,0.45
