participant_id,task_status,condition,HR-accuracy,FAR-accuracy,HR-rt
228,PRE_TEST,zpdes,0.9444444444444444,0.05555555555555555,602.9583333333334
228,POST_TEST,zpdes,1.0,0.0,622.28
231,PRE_TEST,baseline,1.0,0.0,540.2
231,POST_TEST,baseline,1.0,0.0,415.72
232,PRE_TEST,zpdes,1.0,0.0,393.44
232,POST_TEST,zpdes,1.0,0.0,401.84
233,PRE_TEST,zpdes,1.0,0.0,490.4
233,POST_TEST,zpdes,0.9444444444444444,0.05555555555555555,477.7083333333333
234,PRE_TEST,zpdes,0.7777777777777778,0.2222222222222222,538.8095238095239
234,POST_TEST,zpdes,1.0,0.0,574.6
246,PRE_TEST,baseline,1.0,0.0,553.28
246,POST_TEST,baseline,0.9444444444444444,0.05555555555555555,564.3333333333334
247,PRE_TEST,zpdes,0.8888888888888888,0.1111111111111111,673.8695652173913
247,POST_TEST,zpdes,1.0,0.0,650.8
251,PRE_TEST,baseline,0.9444444444444444,0.05555555555555555,446.6666666666667
251,POST_TEST,baseline,1.0,0.0,435.56
254,PRE_TEST,baseline,1.0,0.0,456.08
254,POST_TEST,baseline,0.9444444444444444,0.05555555555555555,431.0416666666667
257,PRE_TEST,baseline,1.0,0.0,582.56
257,POST_TEST,baseline,0.9444444444444444,0.05555555555555555,536.75
260,PRE_TEST,baseline,0.8333333333333334,0.16666666666666666,513.5
260,POST_TEST,baseline,0.9444444444444444,0.05555555555555555,488.7083333333333
261,PRE_TEST,zpdes,1.0,0.0,414.88
261,POST_TEST,zpdes,1.0,0.0,416.16
263,PRE_TEST,baseline,1.0,0.0,468.32
263,POST_TEST,baseline,0.9444444444444444,0.05555555555555555,548.375
265,PRE_TEST,zpdes,1.0,0.0,572.8
265,POST_TEST,zpdes,0.9444444444444444,0.05555555555555555,597.3333333333334
267,PRE_TEST,baseline,1.0,0.0,575.28
267,POST_TEST,baseline,1.0,0.0,492.36
268,PRE_TEST,zpdes,1.0,0.0,440.68
268,POST_TEST,zpdes,1.0,0.0,422.68
270,PRE_TEST,zpdes,0.16666666666666666,0.8333333333333334,499.6
270,POST_TEST,zpdes,1.0,0.0,533.04
272,PRE_TEST,baseline,1.0,0.0,546.48
272,POST_TEST,baseline,0.9444444444444444,0.05555555555555555,548.5416666666666
274,PRE_TEST,baseline,0.6666666666666666,0.3333333333333333,514.5263157894736
274,POST_TEST,baseline,1.0,0.0,500.4
277,PRE_TEST,zpdes,1.0,0.0,496.84
277,POST_TEST,zpdes,1.0,0.0,532.0
280,PRE_TEST,zpdes,0.6666666666666666,0.3333333333333333,537.6842105263158
280,POST_TEST,zpdes,1.0,0.0,520.36
281,PRE_TEST,baseline,0.9444444444444444,0.05555555555555555,436.625
281,POST_TEST,baseline,1.0,0.0,458.48
