participant_id,out_mat_hit_miss_sum-2,out_mat_hit_miss_sum-3,out_mat_hit_miss_sum-4,out_mat_hit_miss_sum-5,out_mat_hit_miss_sum-100,out_mat_fa_cr_sum-2,out_mat_fa_cr_sum-3,out_mat_fa_cr_sum-4,out_mat_fa_cr_sum-5,out_mat_fa_cr_sum-100,out_mat_rt_cond-2,out_mat_rt_cond-3,out_mat_rt_cond-4,out_mat_rt_cond-5,out_mat_rt_cond-100,out_mat_rt_cond_std-2,out_mat_rt_cond_std-3,out_mat_rt_cond_std-4,out_mat_rt_cond_std-5,out_mat_rt_cond_std-100
228.0,16.0,20.0,19.0,17.0,13.0,4.0,3.0,2.0,3.0,0.0,875.8125,913.9,897.6315789473684,896.0,918.9230769230769,107.8350701012894,85.14393695384305,81.47018216327646,83.16461351546384,70.26484134326415
231.0,29.0,24.0,28.0,27.0,24.0,0.0,4.0,4.0,0.0,0.0,774.551724137931,802.0,811.6785714285714,814.8518518518518,833.375,108.04009032630898,108.42124638034127,105.25956134766115,91.85403223218557,86.15045584131674
281.0,27.0,28.0,28.0,29.0,15.0,7.0,8.0,4.0,5.0,1.0,765.2962962962963,785.7142857142857,778.1428571428571,782.8620689655172,770.7333333333333,122.53701324870053,110.64029785843891,89.39427685648494,77.23708424019047,141.2305286481015
280.0,27.0,29.0,25.0,28.0,8.0,1.0,6.0,3.0,4.0,1.0,911.5555555555555,914.2068965517242,891.64,942.3214285714286,973.25,71.70946181348907,64.28727514478291,70.15689844911903,62.458016511338336,39.40732799873648
277.0,29.0,27.0,32.0,31.0,18.0,4.0,2.0,4.0,1.0,0.0,867.1724137931035,896.4814814814815,891.40625,834.4516129032259,919.5,89.52097383430639,84.26078142703224,80.85745921643532,62.66492495789961,83.90421125704398
274.0,21.0,20.0,25.0,20.0,14.0,7.0,10.0,10.0,8.0,0.0,831.0952380952381,895.2,803.6,835.45,780.3571428571429,109.85484134893852,91.98021526393597,85.20985858455582,73.84136713252268,96.74237300528594
272.0,22.0,24.0,22.0,27.0,14.0,3.0,7.0,5.0,7.0,0.0,872.4545454545455,879.3333333333334,887.5454545454545,877.5555555555555,866.4285714285714,91.89753546637357,78.92067043697881,90.83337756209907,101.41858012741909,60.79087606084401
270.0,29.0,30.0,28.0,28.0,21.0,3.0,5.0,2.0,2.0,0.0,862.9310344827586,908.5,892.5357142857143,907.2857142857143,920.3333333333334,89.18362731851887,83.2080725250461,79.01242313841591,73.87820920892958,77.30910950656728
268.0,31.0,31.0,32.0,29.0,27.0,2.0,4.0,2.0,3.0,0.0,834.9677419354839,827.9032258064516,845.875,882.6896551724138,831.074074074074,86.40619895286328,69.13024399461833,73.0123063257147,78.8797003947394,98.29016978311978
267.0,30.0,28.0,25.0,24.0,24.0,1.0,1.0,1.0,2.0,0.0,894.5666666666667,905.75,916.56,891.4166666666666,885.625,92.14723122385296,75.56436471171921,77.10672084844485,77.07080979347643,66.93268540108039
265.0,27.0,19.0,25.0,22.0,4.0,2.0,0.0,1.0,1.0,0.0,936.5555555555555,917.4736842105264,929.4,912.6818181818181,978.5,81.74410538645645,69.72001783151374,72.94600743015343,90.32788070722046,18.472953201911167
263.0,22.0,28.0,21.0,24.0,20.0,3.0,8.0,3.0,3.0,2.0,859.5909090909091,902.0357142857143,859.6666666666666,845.0833333333334,881.35,94.54419798116025,100.13864750679328,95.57362324573376,106.99490512273105,93.78927177454786
261.0,29.0,28.0,30.0,29.0,26.0,1.0,4.0,1.0,1.0,0.0,798.6551724137931,800.9285714285714,814.2666666666667,781.9310344827586,822.6153846153846,108.35646022847986,96.68650687787256,96.6939961367245,92.47065929236325,115.71386358104232
260.0,27.0,27.0,26.0,24.0,12.0,2.0,5.0,8.0,4.0,0.0,806.8518518518518,852.0370370370371,877.3076923076923,878.2916666666666,836.0833333333334,88.34725412476304,102.21418379558989,119.3655565675231,90.06593842229641,105.12330722642919
257.0,28.0,25.0,19.0,22.0,7.0,6.0,7.0,4.0,7.0,0.0,901.4285714285714,914.84,887.7894736842105,921.0,889.5714285714286,83.95510218964343,76.30029095619491,85.45887219338374,87.60033208737386,95.09522617259147
254.0,23.0,28.0,31.0,30.0,15.0,7.0,2.0,5.0,5.0,0.0,900.1304347826087,874.7142857142857,865.3870967741935,850.3333333333334,877.8,78.1544203583527,98.02144704926904,103.99400647101669,92.67230198692356,79.73054621661639
251.0,28.0,29.0,28.0,30.0,23.0,3.0,2.0,3.0,0.0,0.0,793.5,802.1034482758621,832.4285714285714,806.7666666666667,824.7826086956521,111.99250612684506,87.85071382262,85.74190031360253,88.91969535610333,80.43952982465834
247.0,13.0,17.0,12.0,16.0,16.0,4.0,5.0,2.0,7.0,0.0,940.6153846153846,962.5294117647059,919.75,886.1875,917.0625,85.10223576701367,67.7201140048542,99.50136096221667,101.73508413398989,132.35863626431785
246.0,26.0,24.0,28.0,27.0,23.0,3.0,3.0,2.0,1.0,0.0,902.3076923076923,929.125,937.2142857142857,936.7407407407408,930.9565217391304,68.89611423159522,57.03019120021722,71.79651660016917,67.70994379218013,54.8575057373901
234.0,26.0,25.0,31.0,27.0,8.0,3.0,4.0,2.0,1.0,1.0,926.0,903.64,880.9354838709677,884.0,888.125,74.97538057461057,65.58041170959511,56.569646188810125,74.34852859138306,78.05677020604939
232.0,26.0,29.0,29.0,28.0,18.0,2.0,4.0,5.0,3.0,2.0,731.1538461538462,747.3448275862069,770.8275862068965,795.8928571428571,760.3888888888889,135.0973131622855,102.11868546706816,103.78394964790283,126.42313850312209,98.82427664456233
